Neighborhood,Id,Estimate; Total,Margin of Error; Total
Allegheny Center,1,1411,196
Allegheny West,2,343,96
Allentown,3,2558,449.7732762
Arlington,4,1852,348.1881675
Arlington Heights,5,272,126
Banksville,6,3858,581.1075632
Bedford Dwellings,7,1349,180
Beechview,8,8078,719.6582522
Beltzhoover,9,1702,343.0728786
Bloomfield,10,8669,491.3481454
Bluff,11,6294,395.7612917
Bon Air,12,920,171
Brighton Heights,13,7421,560.5729212
Brookline,14,13160,943.0652151
California-Kirkbride,15,803,136
Carrick,16,10122,826.6661962
Central Business District,17,4060,458.0262001
Central Lawrenceville,18,4775,383.4292634
Central Northside,19,2892,345.7412327
Central Oakland,20,5822,659.4164087
Chartiers City,21,560,172
Chateau,22,3,3
Crafton Heights,23,3964,384.9818178
Crawford-Roberts,24,2225,329.528451
Duquesne Heights,25,2522,350.7506237
East Allegheny,26,2095,284.4011252
East Carnegie,27,610,120
East Hills,28,2859,435.754518
East Liberty,29,5537,612.8711121
Elliott,30,2491,405.6870715
Esplen,31,309,118
Fairywood,32,1181,238
Fineview,33,1270,285.2174609
Friendship,34,1840,268.0167905
Garfield,35,3966,397.2732057
Glen Hazel,36,716,231
Greenfield,37,7690,699.4647954
Hays,38,405,109
Hazelwood,39,4257,666.9370285
Highland Park,40,6810,870.0844787
Homewood North,41,3371,470.4997343
Homewood South,42,2276,320.0687426
Homewood West,43,850,229.1396954
Knoxville,44,4255,842.565131
Larimer,45,1641,322.9520088
Lincoln Place,46,3499,484.2427077
Lincoln-Lemington-Belmar,47,4955,471.0551985
Lower Lawrenceville,48,2572,389.9794866
Manchester,49,1944,257.0992026
Marshall-Shadeland,50,6195,737.0942952
Middle Hill,51,1760,287.1254081
Morningside,52,3262,378.7888594
Mount Oliver Borough,53,3399,462.9611215
Mount Washington,54,8743,613.1582178
Mt. Oliver,55,598,138
New Homestead,56,973,105
North Oakland,57,9602,628.1130472
North Shore,58,205,66.75327707
Northview Heights,59,1545,299
Oakwood,60,1058,147
Overbrook,61,3682,347.909471
Perry North,62,3771,398.5711982
Perry South,63,3398,479.24211
Point Breeze,64,5414,333.9550868
Point Breeze North,65,1732,261.024903
Polish Hill,66,1331,174.3158054
Regent Square,67,1033,101
Ridgemont,68,314,109
Shadyside,69,13562,861.9849187
Sheraden,70,5684,740.8508622
South Oakland,71,2921,513.4685969
South Shore,72,12,14
South Side Flats,73,6292,747.5921348
South Side Slopes,74,4583,516.2634986
Spring Garden,75,840,151.5585695
Spring Hill-City View,76,2456,423.9351365
Squirrel Hill North,77,11336,767.7831725
Squirrel Hill South,78,16042,889.7123131
St. Clair,79,270,96
Stanton Heights,80,4761,418.0920951
Strip District,81,747,94
Summer Hill,82,1191,92
Swisshelm Park,83,1345,106
Terrace Village,84,2292,264.4636081
Troy Hill,85,2283,323.1671394
Upper Hill,86,1884,408.0747481
Upper Lawrenceville,87,2754,435.7086182
West End,88,235,138
West Oakland,89,1717,285.0017544
Westwood,90,3537,407.9828428
Windgap,91,1534,367.8287645
